Year,State,Month,Number of Fires,Date Reported
1999,Rio Grande do Sul,May,13,1/01/1999
2000,Rio Grande do Sul,May,4,1/01/2000
2001,Rio Grande do Sul,May,4,1/01/2001
2002,Rio Grande do Sul,May,7,1/01/2002
2003,Rio Grande do Sul,May,18,1/01/2003
2004,Rio Grande do Sul,May,4,1/01/2004
2005,Rio Grande do Sul,May,24,1/01/2005
2006,Rio Grande do Sul,May,24,1/01/2006
2007,Rio Grande do Sul,May,3,1/01/2007
2008,Rio Grande do Sul,May,20,1/01/2008
2009,Rio Grande do Sul,May,177,1/01/2009
2010,Rio Grande do Sul,May,9,1/01/2010
2011,Rio Grande do Sul,May,20,1/01/2011
2012,Rio Grande do Sul,May,112,1/01/2012
2013,Rio Grande do Sul,May,14,1/01/2013
2014,Rio Grande do Sul,May,63,1/01/2014
2015,Rio Grande do Sul,May,169,1/01/2015
2016,Rio Grande do Sul,May,37,1/01/2016
2017,Rio Grande do Sul,May,43,1/01/2017
1998,Rio Grande do Sul,June,0,1/01/1998
1999,Rio Grande do Sul,June,9,1/01/1999
2000,Rio Grande do Sul,June,0,1/01/2000
2001,Rio Grande do Sul,June,1,1/01/2001
2002,Rio Grande do Sul,June,4,1/01/2002
2003,Rio Grande do Sul,June,14,1/01/2003
2004,Rio Grande do Sul,June,52,1/01/2004
2005,Rio Grande do Sul,June,50,1/01/2005
2006,Rio Grande do Sul,June,7,1/01/2006
2007,Rio Grande do Sul,June,10,1/01/2007
2008,Rio Grande do Sul,June,16,1/01/2008
2009,Rio Grande do Sul,June,30,1/01/2009
2010,Rio Grande do Sul,June,4,1/01/2010
2011,Rio Grande do Sul,June,12,1/01/2011
2012,Rio Grande do Sul,June,86,1/01/2012
2013,Rio Grande do Sul,June,10,1/01/2013
2014,Rio Grande do Sul,June,62,1/01/2014
2015,Rio Grande do Sul,June,68,1/01/2015
2016,Rio Grande do Sul,June,261,1/01/2016
2017,Rio Grande do Sul,June,103,1/01/2017
1998,Rio Grande do Sul,July,0,1/01/1998
1999,Rio Grande do Sul,July,10,1/01/1999
2000,Rio Grande do Sul,July,6,1/01/2000
2001,Rio Grande do Sul,July,6,1/01/2001
2002,Rio Grande do Sul,July,93,1/01/2002
2003,Rio Grande do Sul,July,55,1/01/2003
2004,Rio Grande do Sul,July,156,1/01/2004
2005,Rio Grande do Sul,July,47,1/01/2005
2006,Rio Grande do Sul,July,45,1/01/2006
2007,Rio Grande do Sul,July,7,1/01/2007
2008,Rio Grande do Sul,July,25,1/01/2008
2009,Rio Grande do Sul,July,47,1/01/2009
2010,Rio Grande do Sul,July,34,1/01/2010
2011,Rio Grande do Sul,July,45,1/01/2011
2012,Rio Grande do Sul,July,134,1/01/2012
2013,Rio Grande do Sul,July,42,1/01/2013
2014,Rio Grande do Sul,July,209,1/01/2014
2015,Rio Grande do Sul,July,60,1/01/2015
2016,Rio Grande do Sul,July,865,1/01/2016
2017,Rio Grande do Sul,July,885,1/01/2017
1998,Rio Grande do Sul,August,9,1/01/1998
1999,Rio Grande do Sul,August,24,1/01/1999
2000,Rio Grande do Sul,August,18,1/01/2000
2001,Rio Grande do Sul,August,36,1/01/2001
2002,Rio Grande do Sul,August,824,1/01/2002
2003,Rio Grande do Sul,August,1.419,1/01/2003
2004,Rio Grande do Sul,August,403,1/01/2004
2005,Rio Grande do Sul,August,120,1/01/2005
2006,Rio Grande do Sul,August,642,1/01/2006
2007,Rio Grande do Sul,August,258,1/01/2007
2008,Rio Grande do Sul,August,56,1/01/2008
2009,Rio Grande do Sul,August,1.057,1/01/2009
2010,Rio Grande do Sul,August,267,1/01/2010
2011,Rio Grande do Sul,August,116,1/01/2011
2012,Rio Grande do Sul,August,410,1/01/2012
2013,Rio Grande do Sul,August,156,1/01/2013
2014,Rio Grande do Sul,August,1.168,1/01/2014
2015,Rio Grande do Sul,August,414,1/01/2015
2016,Rio Grande do Sul,August,1.111,1/01/2016
2017,Rio Grande do Sul,August,819,1/01/2017
1998,Rio Grande do Sul,September,60,1/01/1998
1999,Rio Grande do Sul,September,19,1/01/1999
2000,Rio Grande do Sul,September,27,1/01/2000
2001,Rio Grande do Sul,September,2,1/01/2001
2002,Rio Grande do Sul,September,226,1/01/2002
2003,Rio Grande do Sul,September,828,1/01/2003
2004,Rio Grande do Sul,September,431,1/01/2004
2005,Rio Grande do Sul,September,189,1/01/2005
2006,Rio Grande do Sul,September,444,1/01/2006
2007,Rio Grande do Sul,September,573,1/01/2007
2008,Rio Grande do Sul,September,97,1/01/2008
2009,Rio Grande do Sul,September,39,1/01/2009
2010,Rio Grande do Sul,September,250,1/01/2010
2011,Rio Grande do Sul,September,449,1/01/2011
2012,Rio Grande do Sul,September,113,1/01/2012
2013,Rio Grande do Sul,September,290,1/01/2013
2014,Rio Grande do Sul,September,224,1/01/2014
2015,Rio Grande do Sul,September,222,1/01/2015
2016,Rio Grande do Sul,September,628,1/01/2016
2017,Rio Grande do Sul,September,343,1/01/2017
1998,Rio Grande do Sul,October,169,1/01/1998
1999,Rio Grande do Sul,October,56,1/01/1999
2000,Rio Grande do Sul,October,10,1/01/2000
2001,Rio Grande do Sul,October,13,1/01/2001
2002,Rio Grande do Sul,October,10,1/01/2002
2003,Rio Grande do Sul,October,360,1/01/2003
2004,Rio Grande do Sul,October,680,1/01/2004
2005,Rio Grande do Sul,October,83,1/01/2005
2006,Rio Grande do Sul,October,160,1/01/2006
2007,Rio Grande do Sul,October,21,1/01/2007
2008,Rio Grande do Sul,October,135,1/01/2008
2009,Rio Grande do Sul,October,148,1/01/2009
2010,Rio Grande do Sul,October,95,1/01/2010
2011,Rio Grande do Sul,October,74,1/01/2011
2012,Rio Grande do Sul,October,91,1/01/2012
2013,Rio Grande do Sul,October,104,1/01/2013
2014,Rio Grande do Sul,October,110,1/01/2014
2015,Rio Grande do Sul,October,70,1/01/2015
2016,Rio Grande do Sul,October,93,1/01/2016
2017,Rio Grande do Sul,October,101,1/01/2017
1998,Rio Grande do Sul,November,28,1/01/1998
1999,Rio Grande do Sul,November,103,1/01/1999
2000,Rio Grande do Sul,November,18,1/01/2000
2001,Rio Grande do Sul,November,49,1/01/2001
2002,Rio Grande do Sul,November,117,1/01/2002
2003,Rio Grande do Sul,November,121,1/01/2003
2004,Rio Grande do Sul,November,161,1/01/2004
2005,Rio Grande do Sul,November,227,1/01/2005
2006,Rio Grande do Sul,November,27,1/01/2006
2007,Rio Grande do Sul,November,13,1/01/2007
2008,Rio Grande do Sul,November,14,1/01/2008
2009,Rio Grande do Sul,November,4,1/01/2009
2010,Rio Grande do Sul,November,90,1/01/2010
2011,Rio Grande do Sul,November,117,1/01/2011
2012,Rio Grande do Sul,November,74,1/01/2012
2013,Rio Grande do Sul,November,110,1/01/2013
2014,Rio Grande do Sul,November,68,1/01/2014
2015,Rio Grande do Sul,November,30,1/01/2015
2016,Rio Grande do Sul,November,105,1/01/2016
2017,Rio Grande do Sul,November,137,1/01/2017
1998,Rio Grande do Sul,December,605,1/01/1998
1999,Rio Grande do Sul,December,1.11,1/01/1999
2000,Rio Grande do Sul,December,80,1/01/2000
2001,Rio Grande do Sul,December,80,1/01/2001
2002,Rio Grande do Sul,December,45,1/01/2002
2003,Rio Grande do Sul,December,98,1/01/2003
2004,Rio Grande do Sul,December,99,1/01/2004
2005,Rio Grande do Sul,December,35,1/01/2005
2006,Rio Grande do Sul,December,15,1/01/2006
2007,Rio Grande do Sul,December,25,1/01/2007
2008,Rio Grande do Sul,December,32,1/01/2008
2009,Rio Grande do Sul,December,15,1/01/2009
2010,Rio Grande do Sul,December,103,1/01/2010
2011,Rio Grande do Sul,December,69,1/01/2011
2012,Rio Grande do Sul,December,38,1/01/2012
2013,Rio Grande do Sul,December,62,1/01/2013
2014,Rio Grande do Sul,December,31,1/01/2014
2015,Rio Grande do Sul,December,42,1/01/2015
2016,Rio Grande do Sul,December,79,1/01/2016
1998,Rondônia,January,0,1/01/1998
1999,Rondônia,January,1,1/01/1999
2000,Rondônia,January,0,1/01/2000
2001,Rondônia,January,0,1/01/2001
2002,Rondônia,January,6,1/01/2002
2003,Rondônia,January,62,1/01/2003
2004,Rondônia,January,30,1/01/2004
2005,Rondônia,January,99,1/01/2005
2006,Rondônia,January,16,1/01/2006
2007,Rondônia,January,33,1/01/2007
2008,Rondônia,January,4,1/01/2008
2009,Rondônia,January,17,1/01/2009
2010,Rondônia,January,18,1/01/2010
2011,Rondônia,January,1,1/01/2011
2012,Rondônia,January,2,1/01/2012
2013,Rondônia,January,7,1/01/2013
2014,Rondônia,January,12,1/01/2014
2015,Rondônia,January,30,1/01/2015
2016,Rondônia,January,93,1/01/2016
2017,Rondônia,January,44,1/01/2017
1998,Rondônia,February,0,1/01/1998
1999,Rondônia,February,1,1/01/1999
2000,Rondônia,February,6,1/01/2000
2001,Rondônia,February,2,1/01/2001
2002,Rondônia,February,8,1/01/2002
2003,Rondônia,February,10,1/01/2003
2004,Rondônia,February,12,1/01/2004
2005,Rondônia,February,42,1/01/2005
2006,Rondônia,February,17,1/01/2006
2007,Rondônia,February,8,1/01/2007
2008,Rondônia,February,7,1/01/2008
2009,Rondônia,February,1,1/01/2009
2010,Rondônia,February,9,1/01/2010
2011,Rondônia,February,2,1/01/2011
2012,Rondônia,February,9,1/01/2012
2013,Rondônia,February,8,1/01/2013
2014,Rondônia,February,5,1/01/2014
2015,Rondônia,February,22,1/01/2015
2016,Rondônia,February,88,1/01/2016
2017,Rondônia,February,10,1/01/2017
1998,Rondônia,March,0,1/01/1998
1999,Rondônia,March,8,1/01/1999
2000,Rondônia,March,9,1/01/2000
2001,Rondônia,March,0,1/01/2001
2002,Rondônia,March,1,1/01/2002
2003,Rondônia,March,13,1/01/2003
2004,Rondônia,March,20,1/01/2004
2005,Rondônia,March,17,1/01/2005
2006,Rondônia,March,15,1/01/2006
2007,Rondônia,March,20,1/01/2007
2008,Rondônia,March,2,1/01/2008
2009,Rondônia,March,12,1/01/2009
2010,Rondônia,March,11,1/01/2010
2011,Rondônia,March,6,1/01/2011
2012,Rondônia,March,6,1/01/2012
2013,Rondônia,March,23,1/01/2013
2014,Rondônia,March,13,1/01/2014
2015,Rondônia,March,15,1/01/2015
2016,Rondônia,March,25,1/01/2016
2017,Rondônia,March,21,1/01/2017
1998,Rondônia,April,0,1/01/1998
1999,Rondônia,April,3,1/01/1999
2000,Rondônia,April,0,1/01/2000
2001,Rondônia,April,0,1/01/2001
2002,Rondônia,April,3,1/01/2002
2003,Rondônia,April,10,1/01/2003
2004,Rondônia,April,14,1/01/2004
2005,Rondônia,April,7,1/01/2005
2006,Rondônia,April,0,1/01/2006
2007,Rondônia,April,0,1/01/2007
2008,Rondônia,April,8,1/01/2008
2009,Rondônia,April,3,1/01/2009
2010,Rondônia,April,19,1/01/2010
2011,Rondônia,April,8,1/01/2011
2012,Rondônia,April,12,1/01/2012
2013,Rondônia,April,9,1/01/2013
2014,Rondônia,April,15,1/01/2014
2015,Rondônia,April,15,1/01/2015
2016,Rondônia,April,59,1/01/2016
2017,Rondônia,April,19,1/01/2017
1998,Rondônia,May,0,1/01/1998
1999,Rondônia,May,3,1/01/1999
2000,Rondônia,May,13,1/01/2000
2001,Rondônia,May,5,1/01/2001
2002,Rondônia,May,10,1/01/2002
2003,Rondônia,May,21,1/01/2003
2004,Rondônia,May,9,1/01/2004
2005,Rondônia,May,38,1/01/2005
2006,Rondônia,May,7,1/01/2006
2007,Rondônia,May,4,1/01/2007
2008,Rondônia,May,1,1/01/2008
2009,Rondônia,May,6,1/01/2009
2010,Rondônia,May,41,1/01/2010
2011,Rondônia,May,54,1/01/2011
2012,Rondônia,May,22,1/01/2012
2013,Rondônia,May,9,1/01/2013
2014,Rondônia,May,28,1/01/2014
2015,Rondônia,May,13,1/01/2015
2016,Rondônia,May,44,1/01/2016
2017,Rondônia,May,31,1/01/2017
1998,Rondônia,June,26,1/01/1998
1999,Rondônia,June,10,1/01/1999
2000,Rondônia,June,54,1/01/2000
2001,Rondônia,June,31,1/01/2001
2002,Rondônia,June,141,1/01/2002
2003,Rondônia,June,74,1/01/2003
2004,Rondônia,June,151,1/01/2004
2005,Rondônia,June,153,1/01/2005
2006,Rondônia,June,40,1/01/2006
2007,Rondônia,June,71,1/01/2007
2008,Rondônia,June,11,1/01/2008
2009,Rondônia,June,13,1/01/2009
2010,Rondônia,June,44,1/01/2010
2011,Rondônia,June,130,1/01/2011
2012,Rondônia,June,32,1/01/2012
2013,Rondônia,June,22,1/01/2013
2014,Rondônia,June,92,1/01/2014
2015,Rondônia,June,119,1/01/2015
2016,Rondônia,June,170,1/01/2016
2017,Rondônia,June,192,1/01/2017
1998,Rondônia,July,365,1/01/1998
1999,Rondônia,July,135,1/01/1999
2000,Rondônia,July,117,1/01/2000
2001,Rondônia,July,74,1/01/2001
2002,Rondônia,July,539,1/01/2002
2003,Rondônia,July,516,1/01/2003
2004,Rondônia,July,1.233,1/01/2004
2005,Rondônia,July,798,1/01/2005
2006,Rondônia,July,314,1/01/2006
2007,Rondônia,July,187,1/01/2007
2008,Rondônia,July,138,1/01/2008
2009,Rondônia,July,110,1/01/2009
2010,Rondônia,July,747,1/01/2010
2011,Rondônia,July,293,1/01/2011
2012,Rondônia,July,205,1/01/2012
2013,Rondônia,July,117,1/01/2013
2014,Rondônia,July,192,1/01/2014
2015,Rondônia,July,423,1/01/2015
2016,Rondônia,July,969,1/01/2016
2017,Rondônia,July,1.28,1/01/2017
1998,Rondônia,August,2.254,1/01/1998
1999,Rondônia,August,1.976,1/01/1999
2000,Rondônia,August,2.197,1/01/2000
2001,Rondônia,August,2.132,1/01/2001
2002,Rondônia,August,3.465,1/01/2002
2003,Rondônia,August,7.06,1/01/2003
2004,Rondônia,August,6.893,1/01/2004
2005,Rondônia,August,6.672,1/01/2005
2006,Rondônia,August,3.124,1/01/2006
2007,Rondônia,August,4.786,1/01/2007
2008,Rondônia,August,1.251,1/01/2008
2009,Rondônia,August,484,1/01/2009
2010,Rondônia,August,4.388,1/01/2010
2011,Rondônia,August,1.161,1/01/2011
2012,Rondônia,August,2.209,1/01/2012
2013,Rondônia,August,885,1/01/2013
2014,Rondônia,August,3.038,1/01/2014
2015,Rondônia,August,3.762,1/01/2015
2016,Rondônia,August,3.675,1/01/2016
2017,Rondônia,August,4.287,1/01/2017
1998,Rondônia,September,3.753,1/01/1998
1999,Rondônia,September,3.062,1/01/1999
2000,Rondônia,September,2.438,1/01/2000
2001,Rondônia,September,1.927,1/01/2001
2002,Rondônia,September,7.067,1/01/2002
2003,Rondônia,September,6.89,1/01/2003
2004,Rondônia,September,13.05,1/01/2004
2005,Rondônia,September,13.972,1/01/2005
2006,Rondônia,September,9.92,1/01/2006
2007,Rondônia,September,6.832,1/01/2007
2008,Rondônia,September,3.726,1/01/2008
2009,Rondônia,September,1.869,1/01/2009
2010,Rondônia,September,4.893,1/01/2010
2011,Rondônia,September,1.782,1/01/2011
2012,Rondônia,September,2.471,1/01/2012
2013,Rondônia,September,1.776,1/01/2013
2014,Rondônia,September,2.8,1/01/2014
2015,Rondônia,September,6.129,1/01/2015
2016,Rondônia,September,4.208,1/01/2016
2017,Rondônia,September,5.638,1/01/2017
1998,Rondônia,October,483,1/01/1998
1999,Rondônia,October,1.884,1/01/1999
2000,Rondônia,October,644,1/01/2000
2001,Rondônia,October,796,1/01/2001
2002,Rondônia,October,3.554,1/01/2002
2003,Rondônia,October,4.962,1/01/2003
2004,Rondônia,October,3.094,1/01/2004
2005,Rondônia,October,2.559,1/01/2005
2006,Rondônia,October,1.148,1/01/2006
2007,Rondônia,October,2.023,1/01/2007
2008,Rondônia,October,1.482,1/01/2008
2009,Rondônia,October,1.444,1/01/2009
2010,Rondônia,October,1.307,1/01/2010
2011,Rondônia,October,822,1/01/2011
2012,Rondônia,October,1.229,1/01/2012
2013,Rondônia,October,555,1/01/2013
2014,Rondônia,October,1.063,1/01/2014
2015,Rondônia,October,2.598,1/01/2015
2016,Rondônia,October,1.844,1/01/2016
2017,Rondônia,October,2.19,1/01/2017
1998,Rondônia,November,3,1/01/1998
1999,Rondônia,November,41,1/01/1999
2000,Rondônia,November,13,1/01/2000
2001,Rondônia,November,91,1/01/2001
2002,Rondônia,November,639,1/01/2002
2003,Rondônia,November,526,1/01/2003
2004,Rondônia,November,452,1/01/2004
2005,Rondônia,November,465,1/01/2005
2006,Rondônia,November,253,1/01/2006
2007,Rondônia,November,53,1/01/2007
2008,Rondônia,November,78,1/01/2008
2009,Rondônia,November,128,1/01/2009
2010,Rondônia,November,238,1/01/2010
2011,Rondônia,November,245,1/01/2011
2012,Rondônia,November,174,1/01/2012
2013,Rondônia,November,108,1/01/2013
2014,Rondônia,November,202,1/01/2014
2015,Rondônia,November,1.002,1/01/2015
2016,Rondônia,November,401,1/01/2016
2017,Rondônia,November,372,1/01/2017
1998,Rondônia,December,33,1/01/1998
1999,Rondônia,December,0,1/01/1999
2000,Rondônia,December,7,1/01/2000
2001,Rondônia,December,1,1/01/2001
2002,Rondônia,December,91,1/01/2002
2003,Rondônia,December,214,1/01/2003
2004,Rondônia,December,208,1/01/2004
2005,Rondônia,December,36,1/01/2005
2006,Rondônia,December,4,1/01/2006
2007,Rondônia,December,6,1/01/2007
2008,Rondônia,December,2,1/01/2008
2009,Rondônia,December,9,1/01/2009
2010,Rondônia,December,158,1/01/2010
2011,Rondônia,December,37,1/01/2011
2012,Rondônia,December,50,1/01/2012
2013,Rondônia,December,143,1/01/2013
2014,Rondônia,December,144,1/01/2014
2015,Rondônia,December,282,1/01/2015
2016,Rondônia,December,148,1/01/2016
1998,Roraima,January,0,1/01/1998
1999,Roraima,January,15,1/01/1999
2000,Roraima,January,18,1/01/2000
2001,Roraima,January,101,1/01/2001
2002,Roraima,January,302,1/01/2002
2003,Roraima,January,547,1/01/2003
2004,Roraima,January,355,1/01/2004
2005,Roraima,January,106,1/01/2005
2006,Roraima,January,70,1/01/2006
2007,Roraima,January,194,1/01/2007
2008,Roraima,January,245,1/01/2008
2009,Roraima,January,45,1/01/2009
2010,Roraima,January,351,1/01/2010
2011,Roraima,January,225,1/01/2011
2012,Roraima,January,217,1/01/2012
2013,Roraima,January,397,1/01/2013
2014,Roraima,January,355,1/01/2014
2015,Roraima,January,330,1/01/2015
2016,Roraima,January,1.754,1/01/2016
2017,Roraima,January,108,1/01/2017
1998,Roraima,February,0,1/01/1998
1999,Roraima,February,20,1/01/1999
2000,Roraima,February,57,1/01/2000
2001,Roraima,February,646,1/01/2001
2002,Roraima,February,476,1/01/2002
2003,Roraima,February,767,1/01/2003
2004,Roraima,February,259,1/01/2004
2005,Roraima,February,105,1/01/2005
2006,Roraima,February,283,1/01/2006
2007,Roraima,February,796,1/01/2007
2008,Roraima,February,138,1/01/2008
2009,Roraima,February,153,1/01/2009
2010,Roraima,February,470,1/01/2010
2011,Roraima,February,112,1/01/2011
2012,Roraima,February,130,1/01/2012
2013,Roraima,February,62,1/01/2013
2014,Roraima,February,226,1/01/2014
2015,Roraima,February,418,1/01/2015
2016,Roraima,February,171,1/01/2016
2017,Roraima,February,129,1/01/2017
1998,Roraima,March,0,1/01/1998
1999,Roraima,March,98,1/01/1999
2000,Roraima,March,125,1/01/2000
2001,Roraima,March,1.108,1/01/2001
2002,Roraima,March,820,1/01/2002
2003,Roraima,March,1.131,1/01/2003
2004,Roraima,March,276,1/01/2004
2005,Roraima,March,244,1/01/2005
2006,Roraima,March,385,1/01/2006
2007,Roraima,March,665,1/01/2007
2008,Roraima,March,422,1/01/2008
2009,Roraima,March,176,1/01/2009
2010,Roraima,March,417,1/01/2010
2011,Roraima,March,91,1/01/2011
2012,Roraima,March,99,1/01/2012
2013,Roraima,March,179,1/01/2013
2014,Roraima,March,494,1/01/2014
2015,Roraima,March,163,1/01/2015
2016,Roraima,March,1.081,1/01/2016
2017,Roraima,March,216,1/01/2017
1998,Roraima,April,0,1/01/1998
1999,Roraima,April,16,1/01/1999
2000,Roraima,April,0,1/01/2000
2001,Roraima,April,380,1/01/2001
2002,Roraima,April,41,1/01/2002
2003,Roraima,April,268,1/01/2003
2004,Roraima,April,182,1/01/2004
2005,Roraima,April,22,1/01/2005
2006,Roraima,April,201,1/01/2006
2007,Roraima,April,58,1/01/2007
2008,Roraima,April,175,1/01/2008
2009,Roraima,April,115,1/01/2009
2010,Roraima,April,15,1/01/2010
2011,Roraima,April,108,1/01/2011
2012,Roraima,April,25,1/01/2012
2013,Roraima,April,87,1/01/2013
2014,Roraima,April,162,1/01/2014
2015,Roraima,April,278,1/01/2015
2016,Roraima,April,126,1/01/2016
2017,Roraima,April,51,1/01/2017
1998,Roraima,May,0,1/01/1998
1999,Roraima,May,0,1/01/1999
2000,Roraima,May,7,1/01/2000
2001,Roraima,May,9,1/01/2001
2002,Roraima,May,0,1/01/2002
2003,Roraima,May,0,1/01/2003
2004,Roraima,May,2,1/01/2004
2005,Roraima,May,1,1/01/2005
2006,Roraima,May,0,1/01/2006
2007,Roraima,May,0,1/01/2007
2008,Roraima,May,8,1/01/2008
2009,Roraima,May,219,1/01/2009
2010,Roraima,May,3,1/01/2010
2011,Roraima,May,4,1/01/2011
2012,Roraima,May,18,1/01/2012
2013,Roraima,May,4,1/01/2013
2014,Roraima,May,58,1/01/2014
2015,Roraima,May,12,1/01/2015
2016,Roraima,May,22,1/01/2016
2017,Roraima,May,29,1/01/2017
1998,Roraima,June,0,1/01/1998
1999,Roraima,June,3,1/01/1999
2000,Roraima,June,0,1/01/2000
2001,Roraima,June,1,1/01/2001
2002,Roraima,June,0,1/01/2002
2003,Roraima,June,0,1/01/2003
2004,Roraima,June,6,1/01/2004
2005,Roraima,June,5,1/01/2005
2006,Roraima,June,0,1/01/2006
2007,Roraima,June,1,1/01/2007
2008,Roraima,June,0,1/01/2008
2009,Roraima,June,16,1/01/2009
2010,Roraima,June,0,1/01/2010
2011,Roraima,June,6,1/01/2011
2012,Roraima,June,22,1/01/2012
2013,Roraima,June,6,1/01/2013
2014,Roraima,June,4,1/01/2014
2015,Roraima,June,3,1/01/2015
2016,Roraima,June,7,1/01/2016
2017,Roraima,June,4,1/01/2017
1998,Roraima,July,1,1/01/1998
1999,Roraima,July,4,1/01/1999
2000,Roraima,July,0,1/01/2000
2001,Roraima,July,1,1/01/2001
2002,Roraima,July,7,1/01/2002
2003,Roraima,July,0,1/01/2003
2004,Roraima,July,2,1/01/2004
2005,Roraima,July,2,1/01/2005
2006,Roraima,July,0,1/01/2006
2007,Roraima,July,3,1/01/2007
2008,Roraima,July,0,1/01/2008
2009,Roraima,July,18,1/01/2009
2010,Roraima,July,1,1/01/2010
2011,Roraima,July,9,1/01/2011
2012,Roraima,July,2,1/01/2012
2013,Roraima,July,4,1/01/2013
2014,Roraima,July,9,1/01/2014
2015,Roraima,July,5,1/01/2015
2016,Roraima,July,0,1/01/2016
2017,Roraima,July,3,1/01/2017
1998,Roraima,August,0,1/01/1998
1999,Roraima,August,1,1/01/1999
2000,Roraima,August,9,1/01/2000
2001,Roraima,August,4,1/01/2001
2002,Roraima,August,7,1/01/2002
2003,Roraima,August,2,1/01/2003
2004,Roraima,August,18,1/01/2004
2005,Roraima,August,9,1/01/2005
2006,Roraima,August,4,1/01/2006
2007,Roraima,August,2,1/01/2007
2008,Roraima,August,4,1/01/2008
2009,Roraima,August,29,1/01/2009
2010,Roraima,August,3,1/01/2010
2011,Roraima,August,39,1/01/2011
2012,Roraima,August,4,1/01/2012
2013,Roraima,August,3,1/01/2013
2014,Roraima,August,12,1/01/2014
2015,Roraima,August,11,1/01/2015
2016,Roraima,August,11,1/01/2016
2017,Roraima,August,35,1/01/2017
1998,Roraima,September,2,1/01/1998
1999,Roraima,September,3,1/01/1999
2000,Roraima,September,12,1/01/2000
2001,Roraima,September,1,1/01/2001
2002,Roraima,September,48,1/01/2002
2003,Roraima,September,6,1/01/2003
2004,Roraima,September,9,1/01/2004
2005,Roraima,September,72,1/01/2005
2006,Roraima,September,40,1/01/2006
2007,Roraima,September,9,1/01/2007
2008,Roraima,September,17,1/01/2008
2009,Roraima,September,117,1/01/2009
2010,Roraima,September,18,1/01/2010
2011,Roraima,September,53,1/01/2011
2012,Roraima,September,67,1/01/2012
2013,Roraima,September,18,1/01/2013
2014,Roraima,September,67,1/01/2014
2015,Roraima,September,77,1/01/2015
2016,Roraima,September,19,1/01/2016
2017,Roraima,September,43,1/01/2017
1998,Roraima,October,1,1/01/1998
1999,Roraima,October,10,1/01/1999
2000,Roraima,October,25,1/01/2000
2001,Roraima,October,13,1/01/2001
2002,Roraima,October,191,1/01/2002
2003,Roraima,October,14,1/01/2003
2004,Roraima,October,53,1/01/2004
2005,Roraima,October,88,1/01/2005
2006,Roraima,October,135,1/01/2006
2007,Roraima,October,15,1/01/2007
2008,Roraima,October,78,1/01/2008
2009,Roraima,October,197,1/01/2009
2010,Roraima,October,64,1/01/2010
2011,Roraima,October,65,1/01/2011
2012,Roraima,October,152,1/01/2012
2013,Roraima,October,63,1/01/2013
2014,Roraima,October,61,1/01/2014
2015,Roraima,October,181,1/01/2015
2016,Roraima,October,101,1/01/2016
2017,Roraima,October,156,1/01/2017
1998,Roraima,November,1,1/01/1998
1999,Roraima,November,15,1/01/1999
2000,Roraima,November,32,1/01/2000
2001,Roraima,November,76,1/01/2001
2002,Roraima,November,133,1/01/2002
2003,Roraima,November,27,1/01/2003
2004,Roraima,November,135,1/01/2004
2005,Roraima,November,135,1/01/2005
2006,Roraima,November,26,1/01/2006
2007,Roraima,November,112,1/01/2007
2008,Roraima,November,39,1/01/2008
2009,Roraima,November,312,1/01/2009
2010,Roraima,November,27,1/01/2010
2011,Roraima,November,121,1/01/2011
2012,Roraima,November,187,1/01/2012
2013,Roraima,November,106,1/01/2013
2014,Roraima,November,143,1/01/2014
2015,Roraima,November,280,1/01/2015
2016,Roraima,November,71,1/01/2016
2017,Roraima,November,327,1/01/2017
1998,Roraima,December,16,1/01/1998
1999,Roraima,December,35,1/01/1999
2000,Roraima,December,77,1/01/2000
2001,Roraima,December,76,1/01/2001
2002,Roraima,December,199,1/01/2002
2003,Roraima,December,157,1/01/2003
2004,Roraima,December,160,1/01/2004
2005,Roraima,December,71,1/01/2005
2006,Roraima,December,101,1/01/2006
2007,Roraima,December,8,1/01/2007
2008,Roraima,December,5,1/01/2008
2009,Roraima,December,290,1/01/2009
2010,Roraima,December,73,1/01/2010
2011,Roraima,December,249,1/01/2011
2012,Roraima,December,78,1/01/2012
2013,Roraima,December,65,1/01/2013
2014,Roraima,December,277,1/01/2014
2015,Roraima,December,304,1/01/2015
2016,Roraima,December,136,1/01/2016
1998,Santa Catarina,January,0,1/01/1998
1999,Santa Catarina,January,11,1/01/1999
2000,Santa Catarina,January,14,1/01/2000
2001,Santa Catarina,January,11,1/01/2001
2002,Santa Catarina,January,22,1/01/2002
2003,Santa Catarina,January,45,1/01/2003
2004,Santa Catarina,January,37,1/01/2004
2005,Santa Catarina,January,46,1/01/2005
2006,Santa Catarina,January,41,1/01/2006
2007,Santa Catarina,January,9,1/01/2007
2008,Santa Catarina,January,25,1/01/2008
2009,Santa Catarina,January,21,1/01/2009
2010,Santa Catarina,January,2,1/01/2010
2011,Santa Catarina,January,9,1/01/2011
2012,Santa Catarina,January,14,1/01/2012
2013,Santa Catarina,January,18,1/01/2013
2014,Santa Catarina,January,58,1/01/2014
2015,Santa Catarina,January,28,1/01/2015
2016,Santa Catarina,January,53,1/01/2016
2017,Santa Catarina,January,46,1/01/2017
1998,Santa Catarina,February,0,1/01/1998
1999,Santa Catarina,February,2,1/01/1999
2000,Santa Catarina,February,8,1/01/2000
2001,Santa Catarina,February,0,1/01/2001
2002,Santa Catarina,February,5,1/01/2002
2003,Santa Catarina,February,43,1/01/2003
